"zip_code","household_income"
"06390",19
"10001",14375
"10002",36028
"10003",24987
"10004",2123
"10005",4881
"10006",2046
"10007",3084
"10009",29670
"10010",16050
"10011",28874
"10012",11529
"10013",12753
"10014",17504
"10016",30162
"10017",9155
"10018",4704
"10019",26297
"10020",0
"10021",20568
"10022",18153
"10023",35742
"10024",29472
"10025",41653
"10026",15237
"10027",24387
"10028",24440
"10029",33406
"10030",13097
"10031",22037
"10032",22285
"10033",20521
"10034",15879
"10035",14833
"10036",18916
"10037",10103
"10038",10646
"10039",12177
"10040",16541
"10044",5039
"10065",16113
"10069",3142
"10075",12839
"10103",0
"10110",0
"10111",0
"10112",0
"10115",0
"10119",0
"10128",29328
"10152",0
"10153",0
"10154",0
"10162",896
"10165",0
"10167",0
"10168",0
"10169",0
"10170",0
"10171",0
"10172",0
"10173",0
"10174",0
"10177",0
"10199",0
"10271",0
"10278",0
"10279",75
"10280",4293
"10282",2635
"10301",14400
"10302",5945
"10303",8675
"10304",15553
"10305",15780
"10306",19872
"10307",5217
"10308",10472
"10309",11792
"10310",9145
"10311",0
"10312",21324
"10314",31825
"10451",20965
"10452",28260
"10453",28456
"10454",14737
"10455",16254
"10456",32370
"10457",26163
"10458",29116
"10459",17805
"10460",21814
"10461",18807
"10462",29806
"10463",29607
"10464",1990
"10465",16168
"10466",24622
"10467",38433
"10468",28228
"10469",23337
"10470",6351
"10471",8924
"10472",22114
"10473",22795
"10474",3808
"10475",18383
"10501",474
"10502",1892
"10503",57
"10504",2634
"10505",430
"10506",2144
"10507",1952
"10509",7187
"10510",3835
"10511",796
"10512",9276
"10514",4159
"10516",2316
"10517",154
"10518",339
"10519",43
"10520",5015
"10522",3794
"10523",3221
"10524",1533
"10526",696
"10527",204
"10528",4611
"10530",6358
"10532",1796
"10533",2416
"10535",135
"10536",3507
"10537",944
"10538",6237
"10540",0
"10541",8833
"10542",0
"10543",7486
"10545",0
"10546",398
"10547",2785
"10548",1332
"10549",5952
"10550",15636
"10552",9431
"10553",3655
"10560",1738
"10562",12050
"10566",10884
"10567",6454
"10570",4292
"10573",13602
"10576",1777
"10577",760
"10578",536
"10579",2893
"10580",6297
"10583",14167
"10588",1217
"10589",3469
"10590",2622
"10591",9609
"10594",1724
"10595",2309
"10596",364
"10597",206
"10598",10478
"10601",5430
"10603",7260
"10604",3972
"10605",7849
"10606",6084
"10607",2316
"10701",26991
"10703",7940
"10704",12255
"10705",15085
"10706",3359
"10707",4185
"10708",9512
"10709",3666
"10710",10044
"10801",15602
"10803",4302
"10804",5086
"10805",8124
"10901",9227
"10910",0
"10911",6
"10913",1479
"10914",89
"10915",0
"10916",1401
"10917",553
"10918",4119
"10919",508
"10920",2801
"10921",1503
"10922",537
"10923",2803
"10924",4617
"10925",1647
"10926",1529
"10927",3686
"10928",2215
"10930",3320
"10931",343
"10932",21
"10933",130
"10940",18375
"10941",5376
"10950",15293
"10952",10867
"10953",0
"10954",9363
"10956",9397
"10958",912
"10960",5822
"10962",1659
"10963",1282
"10964",567
"10965",5487
"10968",1199
"10969",338
"10970",4054
"10973",799
"10974",1256
"10975",106
"10976",593
"10977",16488
"10979",0
"10980",4776
"10983",1976
"10984",1037
"10985",30
"10986",552
"10987",1449
"10988",234
"10989",3348
"10990",7919
"10992",3254
"10993",1551
"10994",2242
"10996",1063
"10998",1106
"11001",8519
"11003",12607
"11004",5290
"11005",1555
"11010",8278
"11020",1793
"11021",8151
"11023",3011
"11024",2260
"11030",5867
"11040",13670
"11042",0
"11050",11603
"11096",2558
"11101",16488
"11102",12164
"11103",15516
"11104",11991
"11105",15851
"11106",18516
"11109",3326
"11201",32227
"11203",29411
"11204",25118
"11205",16861
"11206",32698
"11207",34831
"11208",34321
"11209",30179
"11210",21652
"11211",26822
"11212",32091
"11213",26281
"11214",31366
"11215",29465
"11216",26311
"11217",18912
"11218",26048
"11219",24031
"11220",27907
"11221",35245
"11222",19108
"11223",26748
"11224",19486
"11225",24873
"11226",38458
"11228",15474
"11229",30751
"11230",31897
"11231",16498
"11232",9589
"11233",32516
"11234",32606
"11235",34769
"11236",33986
"11237",17513
"11238",26492
"11239",8367
"11249",17047
"11354",20980
"11355",29690
"11356",8391
"11357",15508
"11358",13179
"11359",0
"11360",8692
"11361",10886
"11362",7164
"11363",2855
"11364",13822
"11365",16361
"11366",4640
"11367",14647
"11368",30123
"11369",9736
"11370",8140
"11371",0
"11372",25359
"11373",32644
"11374",19800
"11375",33312
"11377",33239
"11378",12818
"11379",13810
"11385",37167
"11411",6602
"11412",11753
"11413",13512
"11414",11401
"11415",8588
"11416",7485
"11417",9377
"11418",11681
"11419",12908
"11420",13836
"11421",11840
"11422",10019
"11423",9946
"11424",0
"11426",6108
"11427",8046
"11428",6153
"11429",8038
"11430",0
"11432",20036
"11433",10886
"11434",22986
"11435",19350
"11436",6136
"11439",0
"11451",0
"11501",8586
"11507",2388
"11509",720
"11510",11222
"11514",1773
"11516",2864
"11518",4099
"11520",14326
"11530",9544
"11542",10965
"11545",4326
"11547",227
"11548",435
"11549",0
"11550",17780
"11552",7362
"11553",7151
"11554",11716
"11556",0
"11557",2611
"11558",3058
"11559",2537
"11560",2436
"11561",16004
"11563",7661
"11565",3128
"11566",11346
"11568",1005
"11569",556
"11570",10810
"11572",10315
"11575",4534
"11576",4399
"11577",4177
"11579",1828
"11580",13176
"11581",7011
"11590",14766
"11596",3440
"11598",3935
"11691",21687
"11692",8128
"11693",5274
"11694",7994
"11697",1533
"11701",9163
"11702",5487
"11703",5491
"11704",13096
"11705",3034
"11706",18997
"11709",2656
"11710",11228
"11713",3253
"11714",7898
"11715",1554
"11716",3457
"11717",14779
"11718",1020
"11719",1110
"11720",8956
"11721",2388
"11722",9864
"11724",963
"11725",9083
"11726",6198
"11727",11356
"11729",8684
"11730",5075
"11731",10674
"11732",1520
"11733",6010
"11735",11114
"11738",5639
"11739",511
"11740",3550
"11741",9151
"11742",4555
"11743",15183
"11746",21462
"11747",7501
"11749",1113
"11751",5178
"11752",3076
"11753",4059
"11754",6790
"11755",4100
"11756",13886
"11757",14762
"11758",19029
"11762",7657
"11763",9579
"11764",4214
"11765",235
"11766",3839
"11767",4756
"11768",7916
"11769",3360
"11770",48
"11771",3640
"11772",16983
"11776",8202
"11777",3561
"11778",4576
"11779",13069
"11780",5463
"11782",5522
"11783",7101
"11784",8204
"11786",1924
"11787",11804
"11788",5548
"11789",2753
"11790",4488
"11791",8110
"11792",3062
"11793",10348
"11794",0
"11795",8176
"11796",1352
"11797",3045
"11798",5004
"11801",12823
"11803",10338
"11804",1388
"11901",11406
"11930",353
"11931",0
"11932",402
"11933",2981
"11934",2709
"11935",1208
"11937",8336
"11939",722
"11940",1929
"11941",869
"11942",2267
"11944",2203
"11946",6458
"11947",69
"11948",228
"11949",4996
"11950",4689
"11951",4819
"11952",2186
"11953",5660
"11954",1580
"11955",1452
"11956",145
"11957",638
"11958",384
"11959",249
"11960",430
"11961",5625
"11962",161
"11963",3556
"11964",1228
"11965",347
"11967",8315
