"","type","store_name","store_address","borough","zipcode","days","weeks_in_month","hours","address","latitude","longitude"
"1","SK","HOLY APOSTLES SOUP KITCHEN","296 NINTH AVENUE @ 28TH ST.","Manhattan",10001,"MON, TUES, WED, THUR, FRI",NA,"10:30AM-12:30PM","10001 United States",40.7484744893764,-73.994131107067
"2","FP","HOLY APOSTLES SOUP KITCHEN PANTRY","296 NINTH AVENUE","Manhattan",10001,"TUE,WED,THUR",NA,"1:30-3PM","10001 United States",40.7484744893764,-73.994131107067
"3","FP","ST. JOHN'S BREAD OF LIFE","213 WEST 30TH STREET","Manhattan",10001,"WED","2,4","11AM-1PM","10001 United States",40.7484744893764,-73.994131107067
"4","FP","ARTISTS ATHLETES ACTIVISTS INCORPORATED","110 COLUMBIA STREET","Manhattan",10002,"THUR",NA,"12:30-3PM","10002 United States",40.7170818961329,-73.9893151477039
"5","FP","DEWITT REFORMED CHURCH","280 RIVINGTON STREET","Manhattan",10002,"SAT","1,3","10AM-12PM","10002 United States",40.7170818961329,-73.9893151477039
"6","FP","MANHATTAN DOWNTOWN MULTI-CULTURAL FOOD PANTRY","160 ALLEN STREET - SUITE #20","Manhattan",10002,"THUR","1","8:30-10:30AM","10002 United States",40.7170818961329,-73.9893151477039
"7","FP","OUR LADY OF SORROWS","213 STANTON STREET","Manhattan",10002,"TUE,THUR",NA,"8-11AM","10002 United States",40.7170818961329,-73.9893151477039
"8","FP","UA3 COMMUNITY FIRST FOOD PANTRY","384 GRAND STREET","Manhattan",10002,"MON,THUR",NA,"10AM - 2PM","10002 United States",40.7170818961329,-73.9893151477039
"9","FP","VISION URBANA","66 ESSEX STREET","Manhattan",10002,"MON",NA,"9-11AM","10002 United States",40.7170818961329,-73.9893151477039
"10","FP","LILLIAN WALD FOOD PANTRY","12 AVENUE D","Manhattan",10009,"WED",NA,"10AM-2PM","10009 United States",40.7258845166667,-73.9808647779456
"11","FP","NAZARETH HOUSING INC","206 EAST 4TH STREET","Manhattan",10009,"TUE",NA,"8:30-10AM","10009 United States",40.7258845166667,-73.9808647779456
"12","FP","THE CRW COMMUNITY FOOD PANTRY","25-29 AVENUE D","Manhattan",10009,"TUE, WED",NA,"4-5:45PM","10009 United States",40.7258845166667,-73.9808647779456
"13","FP","THE LOWER EASTSIDE GIRLS CLUB","402 EAST 8TH STREET","Manhattan",10009,"WED",NA,"11:30AM-2:30PM","10009 United States",40.7258845166667,-73.9808647779456
"14","FP","TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC.","602 EAST 9TH STREET","Manhattan",10009,"MON, TUES, WED, THUR",NA,"12:30-1:30PM","10009 United States",40.7258845166667,-73.9808647779456
